N,BubbleSort,BubbleSortOpt,SelectionSort,InsertionSort,QuickSort,QuickSortOpt,MergeSortRec,MergeSortNon
2,0.0013,0.0012,0.0025,0.0023,0.002,0.1014,0.003,0.0015
4,0.0007,0.0004,0.001,0.0004,0.0013,0.0029,0.0016,0.001
8,0.0021,0.0006,0.0023,0.0006,0.0036,0.0133,0.0036,0.0014
16,0.0078,0.0011,0.0079,0.001,0.0147,0.0424,0.0128,0.0024
32,0.0303,0.002,0.0299,0.002,0.043,0.0333,0.0237,0.0045
64,0.1016,0.0039,0.0937,0.0038,0.0699,0.0464,0.0476,0.0087
128,0.361,0.0078,0.3073,0.0075,0.0694,0.0933,0.0273,0.0177
256,0.2908,0.015,0.2432,0.0148,0.2381,0.0964,0.0267,0.0346
512,0.5706,0.0298,0.4956,0.0302,0.9391,0.1449,0.0517,0.0709
1024,0.712,0.0614,1.0952,0.0619,0.8682,0.2672,0.1017,0.1414
2048,0.8287,0.1228,0.7505,0.1233,0.7034,0.5195,0.2327,0.2892
4096,2.5507,0.2795,2.5747,0.2402,2.8784,0.9023,0.4892,0.5809
8192,10.7547,0.347,10.4916,0.327,14.7389,1.5201,1.0267,0.8017
16384,43.9195,0.0978,42.5504,0.1029,59.42,2.0336,2.0966,0.6067
